Team8;Country;Link GitHub;;
2EZ;India;https://github.com/tecnoplasma/2EZ_WRO_Future_Engineers2024;;
AGSG1;Portugal;https://github.com/ImSimao/S2024Future-Engeneers;;
Aitchison X;Pakistan;;;
ASPARAGUS;Canada;https://github.com/kylln20/WRO_FE_2023-24;;
BSU Ispartan Team;Philippines;https://github.com/AbeBuck/BSU-Spartan-Team_FE-2024;;
CAT P5000;Panama;https://github.com/CapitanMichi/Ford-Puma;;
CETYS;Mexico;https://github.com/marianasvega/WRO_FE-CETYS;;
Dark Eagles;Jordan;https://github.com/hasan-2001690/Team_Dark_Eagles-WRO-FutureEngineers.git;;
DriverUS;United States of America;https://github.com/Utcassyxz/USA-Future-Engineers---DriverUS;;
FAST GEAR;TÃ¼rkiye;https://github.com/FASTGEARFE2024/FE20204_FASTGEAR;;
FireOnAllCylinders;Chinese Taipei;https://github.com/kirkhu/WRO2024_FE-Fire-On-All-Cylinders;;
FVJ USA;United States of America;https://github.com/vinayaa1/FVJ-WRO-2024;;
HK-Control C;Hong Kong;https://github.com/ChaceCoding/WRO-2024-Future-Engineers;;
HK-LCDMC;Hong Kong;https://github.com/fuqup571/WRO-Future-Engineering-LCDMC;;
I-Robocom;Malaysia;https://github.com/11grace17/I-Robocom.git;;
I-Robonator;Malaysia;https://github.com/Ting711/I-Robonator.git;;
IoTronic-Polivirtual;Mexico;https://github.com/IotronicAcademy/WRO-Future-Engineers-Turkey-2024;;
KANAAN;Palestine;https://github.com/wroqabatyacaesar2023/CAESAR;;
KMIDS;Thailand;https://github.com/Chayanon-Ninyawee/KMIDS-TDF-WRO-Future-Engineers-2024;;
Knight Rider;Iran;https://github.com/shirazknightrider/Knight-Rider-;;
kyivrobomagic;Ukraine;https://github.com/KyivRoboMagic/WRO-2024.git;;
Leteam;Palestine;https://github.com/leteam-WRO2024/wro_t_2024;;
Los Pythoners;El Salvador;;;
MAYERDOA_ROBOTICS;Bangladesh;https://github.com/AnasBinAzim/MAYERD0A_ROBOTICS;;
MINDCRAFT;Morocco;https://github.com/DexterTaha/WRO-2024-FUTURE-ENGINEERS;;
MKS Robotics;Germany;https://github.com/NickTechMaster/WRO_Future_Engineers_MKS_Robotics_2024_Izmir;;
MONKE;Singapore;https://github.com/David205k/SPRITE_WRO_FE_2024_Team_Monke;;
MVP;Guatemala;https://github.com/MVP-16/MVP_FMT;;
Nervana Cancer;Romania;https://github.com/mihaipriboi/WRO_Future_Engineers_2024;;
Nocturnalist;Thailand;https://github.com/Book2009/FE-NOC;;
NOTAPI;Spain;https://github.com/NotAPi/NotAPi_WRO_2024;;
Null;South Africa;https://github.com/Michael-she/Chiuaua-MK6;;
PATHFINDERS;Ghana;https://github.com/codecraftersknust/pathfinders;;
QATAR SPEEDER (QST);Qatar;https://github.com/momar82/QSTSS_WRO2024;;
QYZYLORDA Flame;Kazakhstan;https://github.com/QZOFlameFE/FE2024_1st_repo_ByFlame;;
RayBot 2030 - KSA;Saudi Arabia;https://github.com/RayBot-2030/WRO-2024-RayBot;;
Red Machine;Venezuela;https://github.com/RoboticaLLR/redmachine2024.git;;
Revine;Peru;https://github.com/marieblasi/wro2024-robotek;;
Roadrunners;Germany;https://github.com/blauerkakao877/GSGroadrunners;;
Robotek Lumino;Kazakhstan;https://github.com/RobotekLumino/Future-Engineers-;;
SANDSTORM - KSA;Saudi Arabia;https://github.com/abdo20050/SANDSTORM_FE_WRO;;
SHUSHA AZE;Azerbaijan;https://github.com/ERA-FutureEngineers/ERA-FutureEngineers;;
Snoopy;Cambodia;https://github.com/Yuthisme/WRO-2024-FE-SNOOPIE;;
Storms NGR;Hungary;https://github.com/MoCsabi/WRO2024-FE-StormsNGR;;
Team RoboCRV;Venezuela;https://github.com/ROBOTEAMCRV/roboteamCRV;;
Team Spark;Venezuela;https://github.com/KarenWon9/WRO-FI-Team-Spark;;
Teikyorobostar;Japan;https://github.com/Hart1109/TeikyoRobostar-WRO-FE-2024;;
TERRENATOR;Panama;https://github.com/kieviceb/TERRENATOR-WRO-PANAMA-2024;;
TLGC CATALYST;Philippines;https://github.com/tlgccatalyst2024/tlgcfutureengineersphilippines;;
VocTomasOnagay;Puerto Rico;https://github.com/WROMagnet/Magnet-Robots;;
VOLTERRA;Italy;https://github.com/Lor7/WRO2024-FUTURE-ENGINEERS-VOLTERRA-TEAM-INTERNATIONAL-FINAL;;